label,message
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,See you at 12:00 for lunch.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,Let me know if you need anything else.
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Thanks for the update. I will review it tomorrow.
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,Can we reschedule our call to 11:00?
ham,I will send you the details by 17:00.
ham,Let me know if you need anything else.
spam,Free gift card worth ! Claim at http://spam-link.com
spam,WINNER! You have won a free vacation worth . Call 8841 now.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,Can we reschedule our call to 12:00?
ham,Quick question: are you free at 9:00?
ham,The package has been delivered.
ham,Thanks for your help with the project.
ham,Quick question: are you free at 11:00?
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Thanks for the feedback. I will incorporate it.
ham,Let me know if you need anything else.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,"Hey, how are you? Let me know when you can meet."
ham,Thanks for the update. I will review it tomorrow.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,The meeting went well. Next steps are...
spam,Free gift card worth ! Claim at http://spam-link.com
ham,The package has been delivered.
ham,Please review the document and let me know.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
spam,Free gift card worth ! Claim at http://spam-link.com
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
ham,The meeting went well. Next steps are...
ham,Thanks for the update. I will review it tomorrow.
ham,Thanks for the feedback. I will incorporate it.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
spam,You have  unread messages. Check at http://spam-link.com
ham,Meeting scheduled for 14:00 tomorrow. Please confirm.
ham,The report is ready. Please find attached.
ham,Just wanted to check in. Hope you are doing well.
ham,Please review the document and let me know.
ham,Welcome to the team! Looking forward to working with you.
ham,Just wanted to check in. Hope you are doing well.
ham,Welcome to the team! Looking forward to working with you.
spam,Free gift card worth ! Claim at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
spam,WINNER! You have won a free vacation worth . Call 8883 now.
ham,Let me know if you need anything else.
ham,I will send you the details by 12:00.
spam,FREE entry to win  cash! Text WIN to 4450
ham,Thanks for the update. I will review it tomorrow.
ham,Your order #1268 has been shipped.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,Earn  per week from home! Details at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Can we reschedule our call to 13:00?
ham,Can we reschedule our call to 16:00?
ham,Happy birthday! Have a great day!
ham,Let me know if you need anything else.
spam,Earn  per week from home! Details at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
ham,The package has been delivered.
ham,I will send you the details by 9:00.
ham,The meeting went well. Next steps are...
ham,Reminder: appointment at 13:00 tomorrow.
ham,"Hey, how are you? Let me know when you can meet."
ham,Please review the document and let me know.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM8894
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,The package has been delivered.
ham,I will send you the details by 10:00.
ham,The payment has been processed successfully.
ham,Welcome to the team! Looking forward to working with you.
ham,Thanks for your help with the project.
ham,Welcome to the team! Looking forward to working with you.
ham,Thanks for the update. I will review it tomorrow.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,Reminder: appointment at 15:00 tomorrow.
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,See you at 15:00 for lunch.
ham,Welcome to the team! Looking forward to working with you.
spam,Earn  per week from home! Details at http://spam-link.com
ham,See you at 14:00 for lunch.
ham,Your order #3122 has been shipped.
ham,Reminder: appointment at 13:00 tomorrow.
ham,Thanks for the feedback. I will incorporate it.
ham,See you at 11:00 for lunch.
spam,You have been selected for a  reward. Claim at http://spam-link.com
spam,WINNER! You have won a free vacation worth . Call 2766 now.
ham,Please review the document and let me know.
ham,I will send you the details by 14:00.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Meeting scheduled for 14:00 tomorrow. Please confirm.
ham,Let me know if you need anything else.
ham,Thanks for the feedback. I will incorporate it.
ham,The meeting went well. Next steps are...
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Meeting scheduled for 10:00 tomorrow. Please confirm.
ham,Quick question: are you free at 12:00?
ham,Let me know if you need anything else.
ham,Thanks for the update. I will review it tomorrow.
ham,Quick question: are you free at 13:00?
ham,Your order #9163 has been shipped.
ham,Thanks for your help with the project.
ham,The report is ready. Please find attached.
ham,Reminder: appointment at 12:00 tomorrow.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,See you at 9:00 for lunch.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM2391
spam,You have  unread messages. Check at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,The payment has been processed successfully.
ham,Please review the document and let me know.
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Thanks for the update. I will review it tomorrow.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,"Hey, how are you? Let me know when you can meet."
ham,Thanks for the update. I will review it tomorrow.
ham,Can we reschedule our call to 10:00?
ham,See you at 15:00 for lunch.
spam,Earn  per week from home! Details at http://spam-link.com
spam,FREE entry to win  cash! Text WIN to 1651
ham,Quick question: are you free at 10:00?
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
spam,FREE entry to win  cash! Text WIN to 3649
ham,Please review the document and let me know.
ham,Just wanted to check in. Hope you are doing well.
ham,Your order #3532 has been shipped.
ham,Please review the document and let me know.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
ham,Welcome to the team! Looking forward to working with you.
ham,Your order #3268 has been shipped.
ham,Thanks for the update. I will review it tomorrow.
ham,The meeting went well. Next steps are...
ham,Just wanted to check in. Hope you are doing well.
ham,Welcome to the team! Looking forward to working with you.
ham,"Hey, how are you? Let me know when you can meet."
ham,Reminder: appointment at 10:00 tomorrow.
ham,Reminder: appointment at 9:00 tomorrow.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,Thanks for your help with the project.
ham,Let me know if you need anything else.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
spam,FREE entry to win  cash! Text WIN to 4463
spam,FREE entry to win  cash! Text WIN to 4576
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM7967
ham,Please review the document and let me know.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,I will send you the details by 12:00.
ham,Meeting scheduled for 9:00 tomorrow. Please confirm.
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
ham,Just wanted to check in. Hope you are doing well.
spam,You have  unread messages. Check at http://spam-link.com
ham,The package has been delivered.
ham,The report is ready. Please find attached.
ham,Reminder: appointment at 12:00 tomorrow.
ham,Happy birthday! Have a great day!
ham,Just wanted to check in. Hope you are doing well.
ham,Let me know if you need anything else.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,The package has been delivered.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,Meeting scheduled for 14:00 tomorrow. Please confirm.
ham,Thanks for your help with the project.
ham,I will send you the details by 13:00.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,Happy birthday! Have a great day!
ham,The payment has been processed successfully.
ham,Happy birthday! Have a great day!
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,"Hey, how are you? Let me know when you can meet."
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,The meeting went well. Next steps are...
ham,"Hey, how are you? Let me know when you can meet."
ham,Quick question: are you free at 11:00?
ham,"Hey, how are you? Let me know when you can meet."
ham,The package has been delivered.
ham,The meeting went well. Next steps are...
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,Welcome to the team! Looking forward to working with you.
ham,The report is ready. Please find attached.
spam,Exclusive: % off everything today only. Shop http://spam-link.com
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Thanks for the feedback. I will incorporate it.
ham,I will send you the details by 12:00.
spam,Earn  per week from home! Details at http://spam-link.com
ham,See you at 9:00 for lunch.
ham,Let me know if you need anything else.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM8190
ham,"Hey, how are you? Let me know when you can meet."
ham,Welcome to the team! Looking forward to working with you.
ham,"Hey, how are you? Let me know when you can meet."
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Thanks for the update. I will review it tomorrow.
ham,Reminder: appointment at 9:00 tomorrow.
ham,Just wanted to check in. Hope you are doing well.
ham,See you at 10:00 for lunch.
ham,Your order #1069 has been shipped.
ham,Thanks for the update. I will review it tomorrow.
ham,I will send you the details by 16:00.
ham,Please review the document and let me know.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,The package has been delivered.
ham,Can we reschedule our call to 17:00?
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,The payment has been processed successfully.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM8512
ham,Thanks for the feedback. I will incorporate it.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Please review the document and let me know.
ham,Just wanted to check in. Hope you are doing well.
ham,Thanks for the feedback. I will incorporate it.
ham,Reminder: appointment at 9:00 tomorrow.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,See you at 9:00 for lunch.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
ham,Your order #3796 has been shipped.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,The report is ready. Please find attached.
ham,Let me know if you need anything else.
ham,Thanks for the update. I will review it tomorrow.
ham,Thanks for the update. I will review it tomorrow.
ham,The payment has been processed successfully.
ham,The meeting went well. Next steps are...
ham,The meeting went well. Next steps are...
ham,Thanks for the update. I will review it tomorrow.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,The package has been delivered.
ham,Your order #9859 has been shipped.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
spam,WINNER! You have won a free vacation worth . Call 7097 now.
ham,Please review the document and let me know.
ham,Meeting scheduled for 15:00 tomorrow. Please confirm.
ham,Please review the document and let me know.
ham,See you at 15:00 for lunch.
ham,The meeting went well. Next steps are...
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
ham,The meeting went well. Next steps are...
spam,WINNER! You have won a free vacation worth . Call 5467 now.
ham,Let me know if you need anything else.
ham,Quick question: are you free at 14:00?
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,Earn  per week from home! Details at http://spam-link.com
ham,The meeting went well. Next steps are...
ham,Can we reschedule our call to 17:00?
spam,Free gift card worth ! Claim at http://spam-link.com
ham,Let me know if you need anything else.
ham,Thanks for the update. I will review it tomorrow.
ham,Just wanted to check in. Hope you are doing well.
ham,Thanks for your help with the project.
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Reminder: appointment at 13:00 tomorrow.
ham,I will send you the details by 15:00.
ham,Can we reschedule our call to 17:00?
ham,I will send you the details by 9:00.
ham,Your order #1512 has been shipped.
ham,Just wanted to check in. Hope you are doing well.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,See you at 12:00 for lunch.
ham,The package has been delivered.
ham,Thanks for your help with the project.
ham,Happy birthday! Have a great day!
ham,Just wanted to check in. Hope you are doing well.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,The package has been delivered.
ham,Quick question: are you free at 10:00?
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Thanks for your help with the project.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Quick question: are you free at 9:00?
ham,Welcome to the team! Looking forward to working with you.
ham,Thanks for the update. I will review it tomorrow.
ham,Reminder: appointment at 10:00 tomorrow.
ham,Thanks for your help with the project.
ham,The report is ready. Please find attached.
ham,Quick question: are you free at 9:00?
ham,Let me know if you need anything else.
ham,Can we reschedule our call to 11:00?
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,Thanks for your help with the project.
ham,Can we reschedule our call to 13:00?
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,Thanks for the update. I will review it tomorrow.
ham,Your order #1609 has been shipped.
ham,The report is ready. Please find attached.
ham,Thanks for the feedback. I will incorporate it.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,The report is ready. Please find attached.
ham,Thanks for the update. I will review it tomorrow.
ham,The package has been delivered.
ham,See you at 12:00 for lunch.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Can we reschedule our call to 16:00?
spam,FREE entry to win  cash! Text WIN to 4670
ham,I will send you the details by 13:00.
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,The meeting went well. Next steps are...
ham,See you at 16:00 for lunch.
ham,Reminder: appointment at 15:00 tomorrow.
ham,Quick question: are you free at 11:00?
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,I will send you the details by 14:00.
ham,The payment has been processed successfully.
ham,Please review the document and let me know.
ham,Meeting scheduled for 9:00 tomorrow. Please confirm.
ham,See you at 15:00 for lunch.
ham,Your order #3249 has been shipped.
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Thanks for the update. I will review it tomorrow.
spam,Earn  per week from home! Details at http://spam-link.com
ham,Meeting scheduled for 15:00 tomorrow. Please confirm.
spam,Last chance to claim your  reward. Click http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Thanks for your help with the project.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,See you at 11:00 for lunch.
ham,Thanks for the update. I will review it tomorrow.
ham,Thanks for your help with the project.
ham,Please review the document and let me know.
ham,Welcome to the team! Looking forward to working with you.
ham,Meeting scheduled for 14:00 tomorrow. Please confirm.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,The report is ready. Please find attached.
ham,Welcome to the team! Looking forward to working with you.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Meeting scheduled for 11:00 tomorrow. Please confirm.
ham,Can we reschedule our call to 9:00?
ham,See you at 14:00 for lunch.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
spam,WINNER! You have won a free vacation worth . Call 8176 now.
ham,The meeting went well. Next steps are...
ham,The package has been delivered.
ham,The payment has been processed successfully.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM7290
spam,Free gift card worth ! Claim at http://spam-link.com
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,You have  unread messages. Check at http://spam-link.com
ham,Meeting scheduled for 14:00 tomorrow. Please confirm.
ham,Happy birthday! Have a great day!
spam,FREE entry to win  cash! Text WIN to 6296
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Happy birthday! Have a great day!
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,Thanks for your help with the project.
spam,FREE entry to win  cash! Text WIN to 2300
ham,Thanks for the update. I will review it tomorrow.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,See you at 17:00 for lunch.
ham,Quick question: are you free at 13:00?
ham,Please review the document and let me know.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
spam,You have been selected for a  reward. Claim at http://spam-link.com
spam,Exclusive: % off everything today only. Shop http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,The payment has been processed successfully.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Reminder: appointment at 10:00 tomorrow.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,Exclusive: % off everything today only. Shop http://spam-link.com
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,Quick question: are you free at 16:00?
ham,The meeting went well. Next steps are...
ham,The report is ready. Please find attached.
ham,Happy birthday! Have a great day!
ham,Happy birthday! Have a great day!
ham,Happy birthday! Have a great day!
ham,Please review the document and let me know.
ham,Quick question: are you free at 9:00?
ham,The meeting went well. Next steps are...
ham,See you at 9:00 for lunch.
ham,Your order #2932 has been shipped.
spam,You have  unread messages. Check at http://spam-link.com
ham,The report is ready. Please find attached.
ham,See you at 12:00 for lunch.
ham,Thanks for your help with the project.
ham,Just wanted to check in. Hope you are doing well.
ham,Thanks for your help with the project.
ham,Just wanted to check in. Hope you are doing well.
ham,The package has been delivered.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM4875
spam,You have  unread messages. Check at http://spam-link.com
ham,Can we reschedule our call to 14:00?
ham,Thanks for the feedback. I will incorporate it.
ham,Thanks for your help with the project.
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Happy birthday! Have a great day!
ham,Meeting scheduled for 10:00 tomorrow. Please confirm.
ham,Happy birthday! Have a great day!
ham,Reminder: appointment at 13:00 tomorrow.
ham,Please review the document and let me know.
ham,The package has been delivered.
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,Thanks for the feedback. I will incorporate it.
ham,Thanks for the feedback. I will incorporate it.
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
ham,Please review the document and let me know.
ham,Your order #674 has been shipped.
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Can we reschedule our call to 12:00?
ham,Happy birthday! Have a great day!
ham,Just wanted to check in. Hope you are doing well.
ham,Can we reschedule our call to 15:00?
ham,Your order #2699 has been shipped.
ham,Meeting scheduled for 9:00 tomorrow. Please confirm.
ham,Welcome to the team! Looking forward to working with you.
ham,Thanks for the update. I will review it tomorrow.
ham,Thanks for your help with the project.
ham,"Hey, how are you? Let me know when you can meet."
ham,See you at 17:00 for lunch.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,Quick question: are you free at 14:00?
ham,I will send you the details by 15:00.
ham,Quick question: are you free at 9:00?
ham,See you at 17:00 for lunch.
ham,Quick question: are you free at 15:00?
ham,Can we reschedule our call to 13:00?
ham,I will send you the details by 14:00.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,You have been pre-approved for  loan. Apply now at http://spam-link.com
ham,Happy birthday! Have a great day!
spam,You have  unread messages. Check at http://spam-link.com
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,Thanks for the feedback. I will incorporate it.
ham,Thanks for the feedback. I will incorporate it.
ham,Just wanted to check in. Hope you are doing well.
ham,Thanks for the feedback. I will incorporate it.
ham,The payment has been processed successfully.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,Free gift card worth ! Claim at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
spam,WINNER! You have won a free vacation worth . Call 7946 now.
ham,Thanks for your help with the project.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,Your order #2427 has been shipped.
ham,See you at 12:00 for lunch.
ham,The report is ready. Please find attached.
ham,Happy birthday! Have a great day!
spam,WINNER! You have won a free vacation worth . Call 9136 now.
ham,Thanks for the feedback. I will incorporate it.
ham,Happy birthday! Have a great day!
ham,Reminder: appointment at 16:00 tomorrow.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,I will send you the details by 10:00.
ham,Happy birthday! Have a great day!
ham,"Hey, how are you? Let me know when you can meet."
ham,The payment has been processed successfully.
ham,The meeting went well. Next steps are...
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
ham,The report is ready. Please find attached.
ham,The package has been delivered.
ham,The payment has been processed successfully.
ham,Let me know if you need anything else.
spam,You have  unread messages. Check at http://spam-link.com
spam,Free gift card worth ! Claim at http://spam-link.com
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,Your package delivery failed. Reschedule at http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
ham,Your order #9616 has been shipped.
ham,Happy birthday! Have a great day!
spam,Your package delivery failed. Reschedule at http://spam-link.com
ham,Please review the document and let me know.
spam,You have  unread messages. Check at http://spam-link.com
ham,I will send you the details by 15:00.
spam,Free gift card worth ! Claim at http://spam-link.com
ham,Thanks for your help with the project.
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
ham,Let me know if you need anything else.
ham,Just wanted to check in. Hope you are doing well.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Let me know if you need anything else.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Let me know if you need anything else.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,Reminder: appointment at 13:00 tomorrow.
spam,Earn  per week from home! Details at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Can we reschedule our call to 10:00?
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,I will send you the details by 15:00.
ham,The payment has been processed successfully.
ham,See you at 16:00 for lunch.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
spam,Free gift card worth ! Claim at http://spam-link.com
ham,See you at 16:00 for lunch.
ham,Just wanted to check in. Hope you are doing well.
spam,Free gift card worth ! Claim at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
spam,Earn  per week from home! Details at http://spam-link.com
ham,The payment has been processed successfully.
spam,Free gift card worth ! Claim at http://spam-link.com
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,Can we reschedule our call to 15:00?
spam,Free gift card worth ! Claim at http://spam-link.com
ham,I will send you the details by 14:00.
ham,"Hey, how are you? Let me know when you can meet."
ham,Welcome to the team! Looking forward to working with you.
ham,Let me know if you need anything else.
ham,Thanks for the update. I will review it tomorrow.
ham,See you at 9:00 for lunch.
ham,Just wanted to check in. Hope you are doing well.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Reminder: appointment at 17:00 tomorrow.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,Thanks for your help with the project.
ham,Meeting scheduled for 17:00 tomorrow. Please confirm.
spam,Exclusive deal:  discount on all items. Shop at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
spam,You have  unread messages. Check at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Please review the document and let me know.
ham,"Hey, how are you? Let me know when you can meet."
ham,The report is ready. Please find attached.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
ham,Your order #7262 has been shipped.
ham,Reminder: appointment at 14:00 tomorrow.
ham,The payment has been processed successfully.
ham,Quick question: are you free at 10:00?
spam,Earn  per week from home! Details at http://spam-link.com
ham,Meeting scheduled for 17:00 tomorrow. Please confirm.
spam,You have  unread messages. Check at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
ham,Please review the document and let me know.
ham,Reminder: appointment at 9:00 tomorrow.
ham,Quick question: are you free at 12:00?
ham,See you at 17:00 for lunch.
ham,"Hey, how are you? Let me know when you can meet."
ham,Can we reschedule our call to 10:00?
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,The meeting went well. Next steps are...
ham,The meeting went well. Next steps are...
ham,The package has been delivered.
ham,Please review the document and let me know.
ham,Happy birthday! Have a great day!
ham,The package has been delivered.
ham,Your order #9356 has been shipped.
spam,Free gift card worth ! Claim at http://spam-link.com
ham,Thanks for the update. I will review it tomorrow.
ham,Can we reschedule our call to 16:00?
ham,Can we reschedule our call to 10:00?
ham,Your order #7611 has been shipped.
spam,Congratulations! You are eligible for  cashback. Visit http://spam-link.com
ham,The package has been delivered.
ham,Thanks for the update. I will review it tomorrow.
ham,Let me know if you need anything else.
ham,Meeting scheduled for 14:00 tomorrow. Please confirm.
ham,Can we reschedule our call to 10:00?
spam,Free gift card worth ! Claim at http://spam-link.com
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Can we reschedule our call to 14:00?
ham,See you at 12:00 for lunch.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Quick question: are you free at 15:00?
ham,See you at 15:00 for lunch.
ham,I will send you the details by 15:00.
ham,Your order #3939 has been shipped.
ham,"Hey, how are you? Let me know when you can meet."
ham,Your order #156 has been shipped.
ham,I will send you the details by 13:00.
spam,Special offer: Buy 1 get  free. Visit http://spam-link.com
ham,Quick question: are you free at 14:00?
ham,Can we reschedule our call to 15:00?
spam,Free gift card worth ! Claim at http://spam-link.com
ham,Welcome to the team! Looking forward to working with you.
ham,The package has been delivered.
ham,The report is ready. Please find attached.
ham,Please review the document and let me know.
spam,Exclusive: % off everything today only. Shop http://spam-link.com
ham,The report is ready. Please find attached.
ham,Please review the document and let me know.
spam,URGENT: Security alert for your account. Verify at http://spam-link.com
ham,See you at 11:00 for lunch.
ham,Please review the document and let me know.
ham,Meeting scheduled for 14:00 tomorrow. Please confirm.
ham,Your order #5873 has been shipped.
ham,Let me know if you need anything else.
ham,I will send you the details by 17:00.
ham,Can we reschedule our call to 14:00?
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,Let me know if you need anything else.
ham,Thanks for the update. I will review it tomorrow.
spam,You have won a brand new iPhone! Claim at http://spam-link.com
spam,Earn  per week from home! Details at http://spam-link.com
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
spam,Your loan of  has been approved. No credit check. Apply at http://spam-link.com
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM3577
spam,Last chance to claim your  reward. Click http://spam-link.com
